repo,analyzer_id,analyzer_version,severity,file,line,message,evidence_kind,matches_count,context,label,note
aiohttp,dup.block,3,warn,aiohttp/payload.py,781,5+ line block duplicated in 2 places,,2,"        self._set_or_restore_start_position() ⏎         size = self.size ⏎         chunk = self._value.read( ⏎             min( ⏎                 DEFAULT_CHUNK_SIZE, ⏎                 size or DEFAULT_CHUNK_SIZE, ⏎                 remaining_content_len or DEFAULT_CHUNK_SIZE,",tp,"chunk-read logic dup, could extract helper"
aiohttp,dup.block,3,warn,aiohttp/payload.py,1020,5+ line block duplicated in 5 places,,5,"    ) -> None: ⏎         """""" ⏎         Write async iterable payload with a specific content length constraint. ⏎  ⏎         Args: ⏎             writer: An AbstractStreamWriter instance that handles the actual writing ⏎             content_length: Maximum number of bytes to write (None for unlimited)",boilerplate,auto: docstring
aiohttp,dup.block,3,warn,aiohttp/web.py,371,5+ line block duplicated in 2 places,,2,"                    SockSite( ⏎                         runner, ⏎                         sock, ⏎                         ssl_context=ssl_context, ⏎                         backlog=backlog, ⏎                     ) ⏎                 )",boilerplate,test/fixture/schema/parallel-class dup
aiohttp,dup.block,3,warn,aiohttp/web_middlewares.py,125,5+ line block duplicated in 2 places,,1,"def _fix_request_current_app(app: ""Application"") -> Middleware: ⏎     async def impl(request: Request, handler: Handler) -> StreamResponse: ⏎         match_info = request.match_info ⏎         prev = match_info.current_app ⏎         match_info.current_app = app ⏎         try: ⏎             return await handler(request)",unclear,reporter bug: copies=1 on dup finding
aiohttp,dup.block,3,warn,tests/test_benchmarks_web_fileresponse.py,127,5+ line block duplicated in 2 places,,1," ⏎     async def run_file_response_benchmark() -> None: ⏎         client = await aiohttp_client_sync(app, server_kwargs=conn_type.s_kwargs) ⏎         for request_number in range(benchmark_file.response_count): ⏎             response = await client.get(""/"", **conn_type.c_kwargs) ⏎             # Consume response. ⏎             # Large responses may leave transport unclosed on at least python 3.10.",unclear,reporter bug: copies=1
aiohttp,dup.block,3,warn,tests/test_benchmarks_web_urldispatcher.py,201,5+ line block duplicated in 2 places,,2,"    """"""Resolve 250 different PlainResources routes."""""" ⏎  ⏎     async def handler(request: web.Request) -> NoReturn: ⏎         assert False ⏎  ⏎     app = web.Application() ⏎     for count in range(250):",boilerplate,auto: docstring
aiohttp,dup.block,3,warn,tests/test_client_connection.py,68,5+ line block duplicated in 2 places,,2,"    protocol: ResponseHandler, ⏎     loop: asyncio.AbstractEventLoop, ⏎ ) -> None: ⏎     conn = Connection(connector, key, protocol, loop) ⏎     notified = False ⏎  ⏎     def cb() -> None:",boilerplate,test/fixture/schema/parallel-class dup
aiohttp,dup.block,3,warn,tests/test_client_functional.py,395,5+ line block duplicated in 2 places,,2,"    client = await aiohttp_client(app) ⏎  ⏎     async def data_gen() -> AsyncIterator[bytes]: ⏎         for _ in range(2):  # pragma: no branch ⏎             yield b""just data"" ⏎             await asyncio.sleep(0.1) ⏎ ",boilerplate,test/fixture/schema/parallel-class dup
aiohttp,dup.block,3,warn,tests/test_client_functional.py,2426,5+ line block duplicated in 4 places,,4,"    app = web.Application() ⏎     app.router.add_get(""/"", handler) ⏎     client = await aiohttp_client(app) ⏎  ⏎     async with client.get(""/"") as resp: ⏎         assert resp.status == 200 ⏎         txt = await resp.text()",boilerplate,test/fixture/schema/parallel-class dup
aiohttp,dup.block,3,warn,tests/test_client_middleware_digest_auth.py,793,5+ line block duplicated in 2 places,,1,    async def handler(request: Request) -> Response: ⏎         nonlocal request_count ⏎         request_count += 1 ⏎  ⏎         if request_count == 1: ⏎             # First request returns 401 with digest challenge without opaque ⏎             challenge = (,unclear,reporter bug: copies=1
aiohttp,dup.block,3,warn,tests/test_client_middleware_digest_auth.py,1003,5+ line block duplicated in 2 places,,1,"            ) ⏎  ⏎         # For the second set of requests, always consider the first nonce stale ⏎         if request_count == 3 and current_nonce == 1: ⏎             # Stale nonce - request new auth with stale=true ⏎             current_nonce = 2 ⏎             challenge = f'Digest realm=""test"", nonce=""nonce{current_nonce}"", qop=""auth"", algorithm=MD5, stale=true'",unclear,reporter bug: copies=1
aiohttp,dup.block,3,warn,tests/test_client_proto.py,174,5+ line block duplicated in 2 places,,2, ⏎  ⏎ async def test_base_exception_during_data_received_closes_transport() -> None: ⏎     loop = asyncio.get_running_loop() ⏎     proto = ResponseHandler(loop=loop) ⏎  ⏎     class PatchableHttpResponseParser(http.HttpResponseParser):,boilerplate,test/fixture/schema/parallel-class dup
aiohttp,dup.block,3,warn,tests/test_client_response.py,459,5+ line block duplicated in 2 places,,2,"    h = {""Content-Type"": ""application/json;charset=cp1251""} ⏎     response._headers = HeadersDictProxy(CIMultiDict(h)) ⏎     content = response.content = mock.Mock() ⏎     content.read.side_effect = side_effect ⏎  ⏎     res = await response.text() ⏎     assert res == '{""тест"": ""пройден""}'",boilerplate,test/fixture/schema/parallel-class dup
aiohttp,dup.block,3,warn,tests/test_client_ws.py,195,5+ line block duplicated in 2 places,,2,"    resp.status = 101 ⏎     resp.headers = { ⏎         hdrs.UPGRADE: ""websocket"", ⏎         hdrs.CONNECTION: ""upgrade"", ⏎         hdrs.SEC_WEBSOCKET_ACCEPT: ws_key, ⏎     } ⏎     resp.connection.protocol.read_timeout = None",boilerplate,test/fixture/schema/parallel-class dup
aiohttp,dup.block,3,warn,tests/test_http_parser.py,320,5+ line block duplicated in 4 places,,4,"    parser = HttpRequestParserC( ⏎         protocol, ⏎         event_loop, ⏎         2**16, ⏎         max_line_size=8190, ⏎         max_field_size=8190, ⏎     )",boilerplate,test/fixture/schema/parallel-class dup
aiohttp,dup.block,3,warn,tests/test_proxy.py,1112,5+ line block duplicated in 5 places,,5,"            with mock.patch.object( ⏎                 connector, ""_resolve_host"", autospec=True, return_value=[r] ⏎             ) as host_m: ⏎                 tr, proto = mock.Mock(), mock.Mock() ⏎                 with mock.patch.object( ⏎                     connector_module, ⏎                     ""create_connection"",",boilerplate,test/fixture/schema/parallel-class dup
aiohttp,dup.block,3,warn,tests/test_streams.py,1659,5+ line block duplicated in 2 places,,2," ⏎  ⏎ async def test_set_exception_eof_callbacks(protocol: BaseProtocol) -> None: ⏎     loop = asyncio.get_running_loop() ⏎     reader = streams.StreamReader(protocol, DEFAULT_CHUNK_SIZE, loop=loop) ⏎  ⏎     on_eof = mock.Mock()",boilerplate,test/fixture/schema/parallel-class dup
aiohttp,dup.block,3,warn,tests/test_web_functional.py,2385,5+ line block duplicated in 2 places,,2," ⏎  ⏎ async def test_app_max_client_size_adjusted(aiohttp_client: AiohttpClient) -> None: ⏎     async def handler(request: web.Request) -> web.Response: ⏎         await request.post() ⏎         return web.Response(body=b""ok"") ⏎ ",boilerplate,test/fixture/schema/parallel-class dup
aiohttp,dup.block,3,warn,tests/test_web_log.py,426,5+ line block duplicated in 3 places,,3,"        return web.Response() ⏎  ⏎     class Logger(AbstractAccessLogger): ⏎  ⏎         def log( ⏎             self, request: web.BaseRequest, response: web.StreamResponse, time: float ⏎         ) -> None:",boilerplate,test/fixture/schema/parallel-class dup
aiohttp,dup.block,3,warn,tests/test_web_sendfile_functional.py,692,5+ line block duplicated in 2 places,,2,"    assert 304 == resp.status ⏎     assert resp.headers.get(""Content-Length"") is None ⏎     assert resp.headers.get(""ETag"") ⏎     assert resp.headers.get(""Last-Modified"") ⏎     assert b"""" == body ⏎     resp.close() ⏎ ",boilerplate,test/fixture/schema/parallel-class dup
aiohttp,dup.block,3,warn,tests/test_web_websocket_functional.py,585,5+ line block duplicated in 2 places,,1," ⏎     async def handler(request: web.Request) -> web.WebSocketResponse: ⏎         ws = web.WebSocketResponse() ⏎         await ws.prepare(request) ⏎         data = await ws.receive_json() ⏎         await ws.send_json({""response"": data[""request""]}) ⏎         await ws.close()",unclear,reporter bug: copies=1
black,dup.block,3,warn,src/black/__init__.py,1600,5+ line block duplicated in 2 places,,1,"                    yield child.value ⏎  ⏎             elif child.type == syms.import_as_name: ⏎                 orig_name = child.children[0] ⏎                 assert isinstance(orig_name, Leaf), ""Invalid syntax parsing imports"" ⏎                 assert orig_name.type == token.NAME, ""Invalid syntax parsing imports"" ⏎                 yield orig_name.value",unclear,reporter bug: copies=1
black,dup.block,3,warn,tests/data/cases/composition_no_trailing_comma.py,224,5+ line block duplicated in 3 places,,3,"            push_manager=context.request.resource_manager, ⏎             max_items_to_push=num_items, ⏎             batch_size=Yyyy2YyyyYyyyyYyyy.FULL_SIZE, ⏎         ).push( ⏎             # Only send the first n items. ⏎             items=items[:num_items] ⏎         )",boilerplate,test/fixture/schema/parallel-class dup
black,dup.block,3,warn,tests/data/cases/conditional_expression.py,170,5+ line block duplicated in 2 places,,2,"    return "" "".join( ⏎         sql ⏎         for sql in ( ⏎             ""LIMIT %d"" % limit if limit else None, ⏎             (""OFFSET %d"" % offset) if offset else None, ⏎         ) ⏎         if sql",boilerplate,test/fixture/schema/parallel-class dup
black,dup.block,3,warn,tests/data/cases/fmtonoff.py,143,5+ line block duplicated in 4 places,,4,"        r"""""" ⏎         ^ ⏎         [\t ]* ⏎         \#[ ]type:[ ]* ⏎         (?P<type> ⏎             [^#\t\n]+? ⏎         )",boilerplate,auto: docstring
black,dup.block,3,warn,tests/test_black.py,753,5+ line block duplicated in 5 places,,5," ⏎         def out(msg: str, **kwargs: Any) -> None: ⏎             out_lines.append(msg) ⏎  ⏎         def err(msg: str, **kwargs: Any) -> None: ⏎             err_lines.append(msg) ⏎ ",boilerplate,auto: docstring
black,dup.block,3,warn,tests/test_black.py,1420,5+ line block duplicated in 4 places,,4,"            p = THIS_DIR / ""data"" / ""cases"" / ""collections.py"" ⏎             # Make sure is_file actually returns True ⏎             self.assertTrue(p.is_file()) ⏎             path = Path(f""__BLACK_STDIN_FILENAME__{p}"") ⏎             expected = Path(p) ⏎             black.reformat_one( ⏎                 path,",boilerplate,test/fixture/schema/parallel-class dup
click,dup.block,3,warn,src/click/testing.py,488,5+ line block duplicated in 2 places,,1,"        @_pause_echo(echo_input)  # type: ignore ⏎         def hidden_input(prompt: str | None = None) -> str: ⏎             sys.stdout.write(f""{prompt or ''}\n"") ⏎             sys.stdout.flush() ⏎             try: ⏎                 return next(text_input).rstrip(""\r\n"") ⏎             except StopIteration as e:",unclear,reporter bug: copies=1 — likely tp
click,dup.block,3,warn,src/click/testing.py,533,5+ line block duplicated in 2 places,,1,"            **kwargs: t.Any, ⏎         ) -> None: ⏎             """"""Default ``pdb.Pdb`` to real terminal streams during ⏎             ``CliRunner`` isolation. ⏎  ⏎             Without this patch, ``pdb.Pdb.__init__`` inherits from ⏎             ``cmd.Cmd`` which falls back to ``sys.stdin``/``sys.stdout``",boilerplate,auto: docstring
click,dup.block,3,warn,tests/test_commands.py,615,5+ line block duplicated in 2 places,,2," ⏎ def test_group_parse_args_collects_base_option_prefixes(): ⏎     @click.group() ⏎     @click.option(""~t"", is_flag=True) ⏎     def group(t): ⏎         pass ⏎ ",boilerplate,test/fixture/schema/parallel-class dup
click,dup.block,3,warn,tests/test_context.py,469,5+ line block duplicated in 2 places,,1,"            self.logger_name = value ⏎  ⏎             # Get the global logger object. ⏎             logger = logging.getLogger(self.logger_name) ⏎  ⏎             # Check pre-conditions: new logger is not set, but inherits its level from ⏎             # default <root> logger. That's the exact same state we are expecting our",unclear,reporter bug: copies=1
click,dup.block,3,warn,tests/test_formatting.py,342,5+ line block duplicated in 2 places,,2,"    @click.command() ⏎     @click.pass_context ⏎     def cli(ctx): ⏎         """"""First paragraph. ⏎  ⏎         This is a very long second ⏎         paragraph and not correctly",boilerplate,auto: docstring
fastapi,dup.block,3,warn,fastapi/applications.py,4231,5+ line block duplicated in 3 places,,3, ⏎         ## Example ⏎  ⏎         ```python ⏎         from fastapi import FastAPI ⏎         from pydantic import BaseModel ⏎ ,boilerplate,test/fixture/schema/parallel-class dup
