repo,file,line,symbol,target_file,mocked_symbols,message,context,label,note
pytest,testing/test_pathlib.py,616,test_scandir_handles_os_error,src/_pytest/pathlib.py,scandir,test `test_scandir_handles_os_error` mocks its own target (scandir),"    result = scandir(non_existent_dir) ⏎     # Assert that the result is an empty list ⏎     assert result == [] ⏎  ⏎  ⏎ def test_scandir_handles_os_error() -> None: ⏎     # Create a mock entry that will raise an OSError when is_file is called ⏎     mock_entry = unittest.mock.MagicMock() ⏎     mock_entry.is_file.side_effect = OSError(""some permission error"") ⏎     # Mock os.scandir to return an iterator with our mock entry ⏎     with unittest.mock.patch(""os.scandir"") as mock_scandir: ⏎         mock_scandir.return_value.__enter__.return_value = [mock_entry] ⏎         # Call the scandir function with a path ⏎         # We expect an OSError to be raised here ⏎         with pytest.raises(OSError, match=""some permission error""): ⏎             scandir(""/fake/path"") ⏎         # Verify that the is_file method was called on the mock entry ⏎         mock_entry.is_file.assert_called_once() ⏎  ⏎  ⏎ class TestImportLibMode: ⏎     def test_importmode_importlib_with_dataclass( ⏎         self, tmp_path: Path, ns_param: bool",,
poetry,tests/inspection/test_info.py,313,test_info_from_poetry_directory_fallback_on_poetry_create_error,src/poetry/inspection/info.py,get_pep517_metadata,test `test_info_from_poetry_directory_fallback_on_poetry_create_error` mocks its own target (get_pep517_metadata),"def test_info_from_poetry_directory(fixture_dir: FixtureDirGetter) -> None: ⏎     info = PackageInfo.from_directory(fixture_dir(""inspection"") / ""demo"") ⏎     demo_check_info(info) ⏎  ⏎  ⏎ def test_info_from_poetry_directory_fallback_on_poetry_create_error( ⏎     mocker: MockerFixture, fixture_dir: FixtureDirGetter ⏎ ) -> None: ⏎     mock_create_poetry = mocker.patch( ⏎         ""poetry.inspection.info.Factory.create_poetry"", side_effect=RuntimeError ⏎     ) ⏎     mock_get_poetry_package = mocker.spy(PackageInfo, ""_get_poetry_package"") ⏎     mock_get_pep517_metadata = mocker.patch( ⏎         ""poetry.inspection.info.get_pep517_metadata"" ⏎     ) ⏎  ⏎     PackageInfo.from_directory(fixture_dir(""inspection"") / ""demo_poetry_package"") ⏎  ⏎     assert mock_create_poetry.call_count == 1 ⏎     assert mock_get_poetry_package.call_count == 1 ⏎     assert mock_get_pep517_metadata.call_count == 1 ⏎  ⏎  ⏎ def test_info_from_requires_txt(fixture_dir: FixtureDirGetter) -> None: ⏎     info = PackageInfo.from_metadata_directory( ⏎         fixture_dir(""inspection"") / ""demo_only_requires_txt.egg-info""",,
aiohttp,tests/test_connector.py,689,test_tcp_connector_certificate_error,aiohttp/connector.py,create_connection,test `test_tcp_connector_certificate_error` mocks its own target (create_connection),"    assert conn._acquired_per_host[key] == {handler2} ⏎  ⏎     await conn.close() ⏎  ⏎  ⏎ async def test_tcp_connector_certificate_error( ⏎     start_connection: mock.AsyncMock, make_client_request: _RequestMaker ⏎ ) -> None: ⏎     loop = asyncio.get_running_loop() ⏎     req = make_client_request(""GET"", URL(""https://127.0.0.1:443""), loop=loop) ⏎  ⏎     conn = aiohttp.TCPConnector() ⏎     with mock.patch.object( ⏎         connector_module, ⏎         ""create_connection"", ⏎         autospec=True, ⏎         spec_set=True, ⏎         side_effect=ssl.CertificateError, ⏎     ): ⏎         with pytest.raises(aiohttp.ClientConnectorCertificateError) as ctx: ⏎             await conn.connect(req, [], ClientTimeout()) ⏎  ⏎         assert isinstance(ctx.value, ssl.CertificateError) ⏎         assert isinstance(ctx.value.certificate_error, ssl.CertificateError) ⏎         assert isinstance(ctx.value, aiohttp.ClientSSLError) ⏎  ⏎     await conn.close() ⏎  ⏎  ⏎ async def test_tcp_connector_server_hostname_default( ⏎     start_connection: mock.AsyncMock, make_client_request: _RequestMaker ⏎ ) -> None:",,
aiohttp,tests/test_connector.py,713,test_tcp_connector_server_hostname_default,aiohttp/connector.py,create_connection,test `test_tcp_connector_server_hostname_default` mocks its own target (create_connection),"        assert isinstance(ctx.value, aiohttp.ClientSSLError) ⏎  ⏎     await conn.close() ⏎  ⏎  ⏎ async def test_tcp_connector_server_hostname_default( ⏎     start_connection: mock.AsyncMock, make_client_request: _RequestMaker ⏎ ) -> None: ⏎     loop = asyncio.get_running_loop() ⏎     conn = aiohttp.TCPConnector() ⏎  ⏎     with mock.patch.object( ⏎         connector_module, ""create_connection"", autospec=True, spec_set=True ⏎     ) as create_connection: ⏎         create_connection.return_value = mock.Mock(), mock.Mock() ⏎  ⏎         req = make_client_request(""GET"", URL(""https://127.0.0.1:443""), loop=loop) ⏎  ⏎         with closing(await conn.connect(req, [], ClientTimeout())): ⏎             assert create_connection.call_args.kwargs[""server_hostname""] == ""127.0.0.1"" ⏎  ⏎     await conn.close() ⏎  ⏎  ⏎ async def test_tcp_connector_server_hostname_override( ⏎     start_connection: mock.AsyncMock, make_client_request: _RequestMaker ⏎ ) -> None:",,
aiohttp,tests/test_connector.py,732,test_tcp_connector_server_hostname_override,aiohttp/connector.py,create_connection,test `test_tcp_connector_server_hostname_override` mocks its own target (create_connection),"            assert create_connection.call_args.kwargs[""server_hostname""] == ""127.0.0.1"" ⏎  ⏎     await conn.close() ⏎  ⏎  ⏎ async def test_tcp_connector_server_hostname_override( ⏎     start_connection: mock.AsyncMock, make_client_request: _RequestMaker ⏎ ) -> None: ⏎     conn = aiohttp.TCPConnector() ⏎  ⏎     with mock.patch.object( ⏎         connector_module, ""create_connection"", autospec=True, spec_set=True ⏎     ) as create_connection: ⏎         create_connection.return_value = mock.Mock(), mock.Mock() ⏎  ⏎         req = make_client_request( ⏎             ""GET"", ⏎             URL(""https://127.0.0.1:443""), ⏎             loop=asyncio.get_running_loop(), ⏎             server_hostname=""localhost"", ⏎         ) ⏎  ⏎         with closing(await conn.connect(req, [], ClientTimeout())): ⏎             assert create_connection.call_args.kwargs[""server_hostname""] == ""localhost"" ⏎  ⏎     await conn.close() ⏎  ⏎  ⏎ async def test_tcp_connector_multiple_hosts_errors( ⏎     make_client_request: _RequestMaker, ⏎ ) -> None:",,
aiohttp,tests/test_connector.py,755,test_tcp_connector_multiple_hosts_errors,aiohttp/connector.py,create_connection,test `test_tcp_connector_multiple_hosts_errors` mocks its own target (create_connection),"            assert create_connection.call_args.kwargs[""server_hostname""] == ""localhost"" ⏎  ⏎     await conn.close() ⏎  ⏎  ⏎ async def test_tcp_connector_multiple_hosts_errors( ⏎     make_client_request: _RequestMaker, ⏎ ) -> None: ⏎     loop = asyncio.get_running_loop() ⏎     conn = aiohttp.TCPConnector() ⏎  ⏎     ip1 = ""192.168.1.1"" ⏎     ip2 = ""192.168.1.2"" ⏎     ip3 = ""192.168.1.3"" ⏎     ip4 = ""192.168.1.4"" ⏎     ip5 = ""192.168.1.5"" ⏎     ips = [ip1, ip2, ip3, ip4, ip5] ⏎     addrs_tried = [] ⏎     ips_tried = [] ⏎  ⏎     fingerprint = hashlib.sha256(b""foo"").digest() ⏎  ⏎     req = make_client_request( ⏎         ""GET"", ⏎         URL(""https://mocked.host""), ⏎         ssl=aiohttp.Fingerprint(fingerprint), ⏎         loop=loop, ⏎     ) ⏎  ⏎     async def _resolve_host( ⏎         host: str, port: int, traces: object = None ⏎     ) -> list[ResolveResult]: ⏎         return [ ⏎             { ⏎                 ""hostname"": host, ⏎                 ""host"": ip, ⏎                 ""port"": port, ⏎                 ""family"": socket.AF_INET, ⏎                 ""proto"": 0, ⏎                 ""flags"": socket.AI_NUMERICHOST, ⏎             } ⏎             for ip in ips ⏎         ] ⏎  ⏎     os_error = certificate_error = ssl_error = fingerprint_error = False ⏎     connected = False ⏎  ⏎     async def start_connection( ⏎         addr_infos: Sequence[AddrInfoType], **kwargs: object ⏎     ) -> socket.socket: ⏎         first_addr_info = addr_infos[0] ⏎         first_addr_info_addr = first_addr_info[-1] ⏎         addrs_tried.append(first_addr_info_addr) ⏎  ⏎         mock_socket = mock.create_autospec(socket.socket, spec_set=True, instance=True) ⏎         mock_socket.getpeername.return_value = first_addr_info_addr ⏎         return mock_socket  # type: ignore[no-any-return] ⏎  ⏎     async def create_connection( ⏎         *args: object, sock: socket.socket | None = None, **kwargs: object ⏎     ) -> tuple[ResponseHandler, ResponseHandler]: ⏎         nonlocal os_error, certificate_error, ssl_error, fingerprint_error ⏎         nonlocal connected ⏎  ⏎         assert isinstance(sock, socket.socket) ⏎         addr_info = sock.getpeername() ⏎         ip = addr_info[0] ⏎  ⏎         ips_tried.append(ip) ⏎  ⏎         if ip == ip1: ⏎             os_error = True ⏎             raise OSError ⏎  ⏎         if ip == ip2: ⏎             certificate_error = True ⏎             raise ssl.CertificateError ⏎  ⏎         if ip == ip3: ⏎             ssl_error = True ⏎             raise ssl.SSLError ⏎  ⏎         if ip == ip4: ⏎             # Close the socket since we are not actually connecting ⏎             # and we don't want to leak it. ⏎             sock.close() ⏎  ⏎             fingerprint_error = True ⏎             tr = create_mocked_conn(loop) ⏎             pr = create_mocked_conn(loop) ⏎  ⏎             def get_extra_info(param: str) -> object: ⏎                 if param == ""sslcontext"": ⏎                     return True ⏎  ⏎                 if param == ""ssl_object"": ⏎                     s = mock.Mock() ⏎                     s.getpeercert.return_value = b""not foo"" ⏎                     return s ⏎  ⏎                 if param == ""peername"": ⏎                     return (""192.168.1.5"", 12345) ⏎  ⏎                 if param == ""socket"": ⏎                     return sock ⏎  ⏎                 assert False, param ⏎  ⏎             tr.get_extra_info = get_extra_info ⏎             return tr, pr ⏎  ⏎         if ip == ip5: ⏎             # Close the socket since we are not actually connecting ⏎             # and we don't want to leak it. ⏎             sock.close() ⏎  ⏎             connected = True ⏎             tr = create_mocked_conn(loop) ⏎             pr = create_mocked_conn(loop) ⏎  ⏎             def get_extra_info(param: str) -> object: ⏎                 if param == ""sslcontext"": ⏎                     return True ⏎  ⏎                 if param == ""ssl_object"": ⏎                     s = mock.Mock() ⏎                     s.getpeercert.return_value = b""foo"" ⏎                     return s ⏎  ⏎                 assert False ⏎  ⏎             tr.get_extra_info = get_extra_info ⏎             return tr, pr ⏎  ⏎         assert False ⏎  ⏎     with ( ⏎         mock.patch.object( ⏎             conn, ⏎             ""_resolve_host"", ⏎             autospec=True, ⏎             spec_set=True, ⏎             side_effect=_resolve_host, ⏎         ), ⏎         mock.patch.object( ⏎             connector_module, ⏎             ""create_connection"", ⏎             autospec=True, ⏎             spec_set=True, ⏎             side_effect=create_connection, ⏎         ), ⏎         mock.patch( ⏎             ""aiohttp.connector.aiohappyeyeballs.start_connection"", start_connection ⏎         ), ⏎     ): ⏎         established_connection = await conn.connect(req, [], ClientTimeout()) ⏎  ⏎     assert ips_tried == ips ⏎     assert addrs_tried == [(ip, 443) for ip in ips] ⏎  ⏎     assert os_error ⏎     assert certificate_error ⏎     assert ssl_error ⏎     assert fingerprint_error ⏎     assert connected ⏎  ⏎     established_connection.close() ⏎  ⏎     await conn.close() ⏎  ⏎  ⏎ @pytest.mark.skipif(not HAS_IPV6, reason=""IPv6 is not available"") ⏎ @pytest.mark.parametrize( ⏎     (""happy_eyeballs_delay""),",,
aiohttp,tests/test_connector.py,926,test_tcp_connector_happy_eyeballs,aiohttp/connector.py,create_connection,test `test_tcp_connector_happy_eyeballs` mocks its own target (create_connection),"@pytest.mark.skipif(not HAS_IPV6, reason=""IPv6 is not available"") ⏎ @pytest.mark.parametrize( ⏎     (""happy_eyeballs_delay""), ⏎     [0.1, 0.25, None], ⏎ ) ⏎ async def test_tcp_connector_happy_eyeballs( ⏎     happy_eyeballs_delay: float | None, make_client_request: _RequestMaker ⏎ ) -> None: ⏎     loop = asyncio.get_running_loop() ⏎     conn = aiohttp.TCPConnector(happy_eyeballs_delay=happy_eyeballs_delay) ⏎  ⏎     ip1 = ""dead::beef::"" ⏎     ip2 = ""192.168.1.1"" ⏎     ips = [ip1, ip2] ⏎     addrs_tried = [] ⏎  ⏎     req = make_client_request( ⏎         ""GET"", ⏎         URL(""https://mocked.host""), ⏎         loop=loop, ⏎     ) ⏎  ⏎     async def _resolve_host( ⏎         host: str, port: int, traces: object = None ⏎     ) -> list[ResolveResult]: ⏎         return [ ⏎             { ⏎                 ""hostname"": host, ⏎                 ""host"": ip, ⏎                 ""port"": port, ⏎                 ""family"": socket.AF_INET6 if "":"" in ip else socket.AF_INET, ⏎                 ""proto"": 0, ⏎                 ""flags"": socket.AI_NUMERICHOST, ⏎             } ⏎             for ip in ips ⏎         ] ⏎  ⏎     os_error = False ⏎     connected = False ⏎  ⏎     async def sock_connect(*args: tuple[str, int], **kwargs: object) -> None: ⏎         addr = args[1] ⏎         nonlocal os_error ⏎  ⏎         addrs_tried.append(addr) ⏎  ⏎         if addr[0] == ip1: ⏎             os_error = True ⏎             raise OSError ⏎  ⏎     async def create_connection( ⏎         *args: object, sock: socket.socket | None = None, **kwargs: object ⏎     ) -> tuple[ResponseHandler, ResponseHandler]: ⏎         assert isinstance(sock, socket.socket) ⏎         # Close the socket since we are not actually connecting ⏎         # and we don't want to leak it. ⏎         sock.close() ⏎  ⏎         nonlocal connected ⏎         connected = True ⏎         tr = create_mocked_conn(loop) ⏎         pr = create_mocked_conn(loop) ⏎         return tr, pr ⏎  ⏎     with mock.patch.object( ⏎         conn, ""_resolve_host"", autospec=True, spec_set=True, side_effect=_resolve_host ⏎     ): ⏎         with mock.patch.object( ⏎             conn._loop, ⏎             ""sock_connect"", ⏎             autospec=True, ⏎             spec_set=True, ⏎             side_effect=sock_connect, ⏎         ): ⏎             with mock.patch.object( ⏎                 connector_module, ⏎                 ""create_connection"", ⏎                 autospec=True, ⏎                 spec_set=True, ⏎                 side_effect=create_connection, ⏎             ): ⏎                 established_connection = await conn.connect(req, [], ClientTimeout()) ⏎  ⏎                 assert addrs_tried == [(ip1, 443, 0, 0), (ip2, 443)] ⏎  ⏎                 assert os_error ⏎                 assert connected ⏎  ⏎                 established_connection.close() ⏎  ⏎     await conn.close() ⏎  ⏎  ⏎ @pytest.mark.skipif(not HAS_IPV6, reason=""IPv6 is not available"") ⏎ async def test_tcp_connector_interleave(make_client_request: _RequestMaker) -> None: ⏎     loop = asyncio.get_running_loop()",,
aiohttp,tests/test_connector.py,1015,test_tcp_connector_interleave,aiohttp/connector.py,create_connection,test `test_tcp_connector_interleave` mocks its own target (create_connection)," ⏎     await conn.close() ⏎  ⏎  ⏎ @pytest.mark.skipif(not HAS_IPV6, reason=""IPv6 is not available"") ⏎ async def test_tcp_connector_interleave(make_client_request: _RequestMaker) -> None: ⏎     loop = asyncio.get_running_loop() ⏎     conn = aiohttp.TCPConnector(interleave=2) ⏎  ⏎     ip1 = ""192.168.1.1"" ⏎     ip2 = ""192.168.1.2"" ⏎     ip3 = ""dead::beef::"" ⏎     ip4 = ""aaaa::beef::"" ⏎     ip5 = ""192.168.1.5"" ⏎     ips = [ip1, ip2, ip3, ip4, ip5] ⏎     success_ips = [] ⏎     interleave_val = None ⏎  ⏎     req = make_client_request( ⏎         ""GET"", ⏎         URL(""https://mocked.host""), ⏎         loop=loop, ⏎     ) ⏎  ⏎     async def _resolve_host( ⏎         host: str, port: int, traces: object = None ⏎     ) -> list[ResolveResult]: ⏎         return [ ⏎             { ⏎                 ""hostname"": host, ⏎                 ""host"": ip, ⏎                 ""port"": port, ⏎                 ""family"": socket.AF_INET6 if "":"" in ip else socket.AF_INET, ⏎                 ""proto"": 0, ⏎                 ""flags"": socket.AI_NUMERICHOST, ⏎             } ⏎             for ip in ips ⏎         ] ⏎  ⏎     async def start_connection( ⏎         addr_infos: Sequence[AddrInfoType], ⏎         *, ⏎         interleave: int | None = None, ⏎         **kwargs: object, ⏎     ) -> socket.socket: ⏎         nonlocal interleave_val ⏎         interleave_val = interleave ⏎         # Mock the 4th host connecting successfully ⏎         fourth_addr_info = addr_infos[3] ⏎         fourth_addr_info_addr = fourth_addr_info[-1] ⏎         mock_socket = mock.create_autospec(socket.socket, spec_set=True, instance=True) ⏎         mock_socket.getpeername.return_value = fourth_addr_info_addr ⏎         return mock_socket  # type: ignore[no-any-return] ⏎  ⏎     async def create_connection( ⏎         *args: object, sock: socket.socket | None = None, **kwargs: object ⏎     ) -> tuple[ResponseHandler, ResponseHandler]: ⏎         assert isinstance(sock, socket.socket) ⏎         addr_info = sock.getpeername() ⏎         ip = addr_info[0] ⏎  ⏎         success_ips.append(ip) ⏎  ⏎         # Close the socket since we are not actually connecting ⏎         # and we don't want to leak it. ⏎         sock.close() ⏎         tr = create_mocked_conn(loop) ⏎         pr = create_mocked_conn(loop) ⏎         return tr, pr ⏎  ⏎     with ( ⏎         mock.patch.object( ⏎             conn, ⏎             ""_resolve_host"", ⏎             autospec=True, ⏎             spec_set=True, ⏎             side_effect=_resolve_host, ⏎         ), ⏎         mock.patch.object( ⏎             connector_module, ⏎             ""create_connection"", ⏎             autospec=True, ⏎             spec_set=True, ⏎             side_effect=create_connection, ⏎         ), ⏎         mock.patch( ⏎             ""aiohttp.connector.aiohappyeyeballs.start_connection"", start_connection ⏎         ), ⏎     ): ⏎         established_connection = await conn.connect(req, [], ClientTimeout()) ⏎  ⏎     assert success_ips == [ip4] ⏎     assert interleave_val == 2 ⏎     established_connection.close() ⏎  ⏎     await conn.close() ⏎  ⏎  ⏎ async def test_tcp_connector_family_is_respected( ⏎     make_client_request: _RequestMaker, ⏎ ) -> None:",,
aiohttp,tests/test_connector.py,1108,test_tcp_connector_family_is_respected,aiohttp/connector.py,create_connection,test `test_tcp_connector_family_is_respected` mocks its own target (create_connection),"    established_connection.close() ⏎  ⏎     await conn.close() ⏎  ⏎  ⏎ async def test_tcp_connector_family_is_respected( ⏎     make_client_request: _RequestMaker, ⏎ ) -> None: ⏎     loop = asyncio.get_running_loop() ⏎     conn = aiohttp.TCPConnector(family=socket.AF_INET) ⏎  ⏎     ip1 = ""dead::beef::"" ⏎     ip2 = ""192.168.1.1"" ⏎     ips = [ip1, ip2] ⏎     addrs_tried = [] ⏎  ⏎     req = make_client_request( ⏎         ""GET"", ⏎         URL(""https://mocked.host""), ⏎         loop=loop, ⏎     ) ⏎  ⏎     async def _resolve_host( ⏎         host: str, port: int, traces: object = None ⏎     ) -> list[ResolveResult]: ⏎         return [ ⏎             { ⏎                 ""hostname"": host, ⏎                 ""host"": ip, ⏎                 ""port"": port, ⏎                 ""family"": socket.AF_INET6 if "":"" in ip else socket.AF_INET, ⏎                 ""proto"": 0, ⏎                 ""flags"": socket.AI_NUMERICHOST, ⏎             } ⏎             for ip in ips ⏎         ] ⏎  ⏎     connected = False ⏎  ⏎     async def sock_connect(*args: tuple[str, int], **kwargs: object) -> None: ⏎         addr = args[1] ⏎         addrs_tried.append(addr) ⏎  ⏎     async def create_connection( ⏎         *args: object, sock: socket.socket | None = None, **kwargs: object ⏎     ) -> tuple[ResponseHandler, ResponseHandler]: ⏎         assert isinstance(sock, socket.socket) ⏎         # Close the socket since we are not actually connecting ⏎         # and we don't want to leak it. ⏎         sock.close() ⏎  ⏎         nonlocal connected ⏎         connected = True ⏎         tr = create_mocked_conn(loop) ⏎         pr = create_mocked_conn(loop) ⏎         return tr, pr ⏎  ⏎     with mock.patch.object( ⏎         conn, ""_resolve_host"", autospec=True, spec_set=True, side_effect=_resolve_host ⏎     ): ⏎         with mock.patch.object( ⏎             conn._loop, ⏎             ""sock_connect"", ⏎             autospec=True, ⏎             spec_set=True, ⏎             side_effect=sock_connect, ⏎         ): ⏎             with mock.patch.object( ⏎                 connector_module, ⏎                 ""create_connection"", ⏎                 autospec=True, ⏎                 spec_set=True, ⏎                 side_effect=create_connection, ⏎             ): ⏎                 established_connection = await conn.connect(req, [], ClientTimeout()) ⏎  ⏎                 # We should only try the IPv4 address since we specified ⏎                 # the family to be AF_INET ⏎                 assert addrs_tried == [(ip2, 443)] ⏎  ⏎                 assert connected ⏎  ⏎                 established_connection.close() ⏎  ⏎  ⏎ @pytest.mark.parametrize( ⏎     (""request_url""), ⏎     [",,
aiohttp,tests/test_connector.py,1195,test_tcp_connector_multiple_hosts_one_timeout,aiohttp/connector.py,create_connection,test `test_tcp_connector_multiple_hosts_one_timeout` mocks its own target (create_connection),"    [ ⏎         (""http://mocked.host""), ⏎         (""https://mocked.host""), ⏎     ], ⏎ ) ⏎ async def test_tcp_connector_multiple_hosts_one_timeout( ⏎     request_url: str, make_client_request: _RequestMaker ⏎ ) -> None: ⏎     loop = asyncio.get_running_loop() ⏎     conn = aiohttp.TCPConnector() ⏎  ⏎     ip1 = ""192.168.1.1"" ⏎     ip2 = ""192.168.1.2"" ⏎     ips = [ip1, ip2] ⏎     ips_tried = [] ⏎     ips_success = [] ⏎     timeout_error = False ⏎     connected = False ⏎  ⏎     req = make_client_request( ⏎         ""GET"", ⏎         URL(request_url), ⏎         loop=loop, ⏎     ) ⏎  ⏎     async def _resolve_host( ⏎         host: str, port: int, traces: object = None ⏎     ) -> list[ResolveResult]: ⏎         return [ ⏎             { ⏎                 ""hostname"": host, ⏎                 ""host"": ip, ⏎                 ""port"": port, ⏎                 ""family"": socket.AF_INET6 if "":"" in ip else socket.AF_INET, ⏎                 ""proto"": 0, ⏎                 ""flags"": socket.AI_NUMERICHOST, ⏎             } ⏎             for ip in ips ⏎         ] ⏎  ⏎     async def start_connection( ⏎         addr_infos: Sequence[AddrInfoType], ⏎         *, ⏎         interleave: int | None = None, ⏎         **kwargs: object, ⏎     ) -> socket.socket: ⏎         nonlocal timeout_error ⏎  ⏎         addr_info = addr_infos[0] ⏎         addr_info_addr = addr_info[-1] ⏎  ⏎         ip = addr_info_addr[0] ⏎         ips_tried.append(ip) ⏎  ⏎         if ip == ip1: ⏎             timeout_error = True ⏎             raise asyncio.TimeoutError ⏎  ⏎         if ip == ip2: ⏎             mock_socket = mock.create_autospec( ⏎                 socket.socket, spec_set=True, instance=True ⏎             ) ⏎             mock_socket.getpeername.return_value = addr_info_addr ⏎             return mock_socket  # type: ignore[no-any-return] ⏎  ⏎         assert False ⏎  ⏎     async def create_connection( ⏎         *args: object, sock: socket.socket | None = None, **kwargs: object ⏎     ) -> tuple[ResponseHandler, ResponseHandler]: ⏎         nonlocal connected ⏎  ⏎         assert isinstance(sock, socket.socket) ⏎         addr_info = sock.getpeername() ⏎         ip = addr_info[0] ⏎         ips_success.append(ip) ⏎         connected = True ⏎  ⏎         # Close the socket since we are not actually connecting ⏎         # and we don't want to leak it. ⏎         sock.close() ⏎         tr = create_mocked_conn(loop) ⏎         pr = create_mocked_conn(loop) ⏎         return tr, pr ⏎  ⏎     with ( ⏎         mock.patch.object( ⏎             conn, ⏎             ""_resolve_host"", ⏎             autospec=True, ⏎             spec_set=True, ⏎             side_effect=_resolve_host, ⏎         ), ⏎         mock.patch.object( ⏎             connector_module, ⏎             ""create_connection"", ⏎             autospec=True, ⏎             spec_set=True, ⏎             side_effect=create_connection, ⏎         ), ⏎         mock.patch( ⏎             ""aiohttp.connector.aiohappyeyeballs.start_connection"", start_connection ⏎         ), ⏎     ): ⏎         established_connection = await conn.connect(req, [], ClientTimeout()) ⏎  ⏎     assert ips_tried == ips ⏎     assert ips_success == [ip2] ⏎  ⏎     assert timeout_error ⏎     assert connected ⏎  ⏎     established_connection.close() ⏎  ⏎     await conn.close() ⏎  ⏎  ⏎ async def test_tcp_connector_resolve_host() -> None: ⏎     conn = aiohttp.TCPConnector(use_dns_cache=True) ⏎ ",,
