repo,analyzer_id,analyzer_version,severity,file,line,message,evidence_kind,matches_count,context,label,note
aiohttp,dup.block,4,warn,aiohttp/base_protocol.py,72,5+ line block duplicated in 2 places,,2,        if not self._upgraded: ⏎             assert self._parser is not None ⏎             self._parser.pause_reading() ⏎         if self.transport is not None: ⏎             try: ⏎                 self.transport.pause_reading() ⏎             except PAUSE_RESUME_READING_ERRORS:,,
aiohttp,dup.block,4,warn,aiohttp/client.py,1058,5+ line block duplicated in 2 places,,2,"                stacklevel=2, ⏎             ) ⏎             ws_timeout = dataclasses.replace(ws_timeout, ws_receive=receive_timeout) ⏎  ⏎         if headers is None: ⏎             real_headers: CIMultiDict[str] = CIMultiDict() ⏎         else:",,
aiohttp,dup.block,4,warn,aiohttp/client_ws.py,168,5+ line block duplicated in 2 places,,2,"            self._heartbeat_cb = loop.call_at(when, self._send_heartbeat) ⏎  ⏎     def _send_heartbeat(self) -> None: ⏎         self._heartbeat_cb = None ⏎  ⏎         # If heartbeat reset is pending (data is being received), skip sending ⏎         # the ping and let the reset callback handle rescheduling the heartbeat.",,
aiohttp,dup.block,4,warn,aiohttp/client_ws.py,433,5+ line block duplicated in 2 places,,2,"                        set_result(self._close_wait, None) ⏎             except (asyncio.CancelledError, asyncio.TimeoutError): ⏎                 self._close_code = WSCloseCode.ABNORMAL_CLOSURE ⏎                 raise ⏎             except EofStream: ⏎                 self._close_code = WSCloseCode.OK ⏎                 await self.close()",,
aiohttp,dup.block,4,warn,aiohttp/http_parser.py,818,5+ line block duplicated in 2 places,,2,"        ( ⏎             headers, ⏎             raw_headers, ⏎             close, ⏎             compression, ⏎             upgrade, ⏎             chunked,",,
aiohttp,dup.block,4,warn,aiohttp/streams.py,295,5+ line block duplicated in 2 places,,2,        self._size += data_len ⏎         self._buffer.append(data) ⏎         self.total_bytes += data_len ⏎  ⏎         waiter = self._waiter ⏎         if waiter is not None: ⏎             self._waiter = None,,
aiohttp,dup.block,4,warn,aiohttp/web_runner.py,140,5+ line block duplicated in 3 places,,3,"        reuse_address: bool | None = None, ⏎         reuse_port: bool | None = None, ⏎     ) -> None: ⏎         super().__init__( ⏎             runner, ⏎             ssl_context=ssl_context, ⏎             backlog=backlog,",,
aiohttp,dup.block,4,warn,aiohttp/web_server.py,64,5+ line block duplicated in 2 places,,2,"        **kwargs: Any, ⏎     ) -> None: ⏎         if debug is not None: ⏎             warnings.warn( ⏎                 ""debug argument is no-op since 4.0 and scheduled for removal in 5.0"", ⏎                 DeprecationWarning, ⏎                 stacklevel=2,",,
aiohttp,dup.block,4,warn,aiohttp/web_urldispatcher.py,742,5+ line block duplicated in 2 places,,2," ⏎     async def resolve(self, request: Request) -> _Resolve: ⏎         match_info = await self._app.router.resolve(request) ⏎         match_info.add_app(self._app) ⏎         if isinstance(match_info.http_exception, HTTPMethodNotAllowed): ⏎             methods = match_info.http_exception.allowed_methods ⏎         else:",,
aiohttp,dup.block,4,warn,aiohttp/web_ws.py,197,5+ line block duplicated in 2 places,,2," ⏎         loop = self._loop ⏎         assert loop is not None and self._writer is not None ⏎         now = loop.time() ⏎         if now < self._heartbeat_when: ⏎             # Heartbeat fired too early, reschedule ⏎             self._heartbeat_cb = loop.call_at(",,
aiohttp,dup.block,4,warn,aiohttp/web_ws.py,223,5+ line block duplicated in 2 places,,2,"                ping_task = asyncio.Task(coro, loop=loop, eager_start=True) ⏎         elif sys.version_info >= (3, 12): ⏎             ping_task = asyncio.Task(coro, loop=loop, eager_start=True) ⏎         else: ⏎             ping_task = asyncio.create_task(coro) ⏎  ⏎         if not ping_task.done():",,
aiohttp,dup.block,4,warn,examples/combined_middleware.py,50,5+ line block duplicated in 2 places,,2," ⏎         # Log request ⏎         _LOGGER.info(""[REQUEST] %s %s"", request.method, request.url) ⏎  ⏎         # Execute request ⏎         response = await handler(request) ⏎ ",,
aiohttp,dup.block,4,warn,examples/combined_middleware.py,132,5+ line block duplicated in 2 places,,2,"            if attempt > 0: ⏎                 _LOGGER.info( ⏎                     ""Retrying request (attempt %s/%s)"", ⏎                     attempt + 1, ⏎                     self.max_retries + 1, ⏎                 ) ⏎ ",,
aiohttp,dup.block,4,warn,examples/retry_middleware.py,61,5+ line block duplicated in 2 places,,2,"                _LOGGER.info( ⏎                     ""Retrying request to %s (attempt %s/%s)"", ⏎                     request.url, ⏎                     attempt + 1, ⏎                     self.max_retries + 1, ⏎                 ) ⏎ ",,
aiohttp,dup.block,4,warn,examples/token_refresh_middleware.py,253,5+ line block duplicated in 5 places,,5,"    app.router.add_post(""/token/refresh"", test_server.handle_token_refresh) ⏎     app.router.add_get(""/api/protected"", test_server.handle_protected_resource) ⏎     app.router.add_get(""/api/user"", test_server.handle_user_info) ⏎  ⏎     runner = web.AppRunner(app) ⏎     await runner.setup() ⏎     site = web.TCPSite(runner, ""localhost"", 8080)",,
black,dup.block,4,warn,src/black/ranges.py,483,5+ line block duplicated in 2 places,,2,"        newline.prefix = """" ⏎     replacements.record( ⏎         list(nodes), ⏎         Leaf( ⏎             STANDALONE_COMMENT, ⏎             value, ⏎             prefix=prefix,",,
black,dup.block,4,warn,src/black/trans.py,1145,5+ line block duplicated in 3 places,,3,"            return match_result ⏎  ⏎         string_indices = match_result.ok() ⏎         assert len(string_indices) == 1, ( ⏎             f""{self.__class__.__name__} should only find one match at a time, found"" ⏎             f"" {len(string_indices)}"" ⏎         )",,
black,dup.block,4,warn,src/black/trans.py,2178,5+ line block duplicated in 3 places,,3,"                    idx = i + 2 if is_empty_par(LL[i + 1]) else i + 1 ⏎  ⏎                     # That symbol MUST be followed by a string... ⏎                     if is_valid_index(idx) and LL[idx].type == token.STRING: ⏎                         string_idx = idx ⏎  ⏎                         # Skip the string trailer, if one exists.",,
black,dup.block,4,warn,src/black/trans.py,2192,5+ line block duplicated in 2 places,,2,                            and is_valid_index(idx) ⏎                             and LL[idx].type == token.COMMA ⏎                         ): ⏎                             idx += 1 ⏎  ⏎                         # But no more leaves are allowed... ⏎                         if not is_valid_index(idx):,,
black,dup.block,4,warn,src/blib2to3/pgen2/conv.py,61,5+ line block duplicated in 2 places,,2,"        This file is a sequence of #define statements defining the ⏎         nonterminals of the grammar as numbers.  We build two tables ⏎         mapping the numbers to names and back. ⏎  ⏎         """""" ⏎         try: ⏎             f = open(filename)",,
black,dup.block,4,warn,src/blib2to3/pgen2/pgen.py,91,5+ line block duplicated in 2 places,,2,"                itoken = getattr(token, label, None) ⏎                 assert isinstance(itoken, int), label ⏎                 assert itoken in token.tok_name, label ⏎                 if itoken in c.tokens: ⏎                     return c.tokens[itoken] ⏎                 else: ⏎                     c.labels.append((itoken, None))",,
black,dup.block,4,warn,src/blib2to3/pytree.py,399,5+ line block duplicated in 2 places,,2,            return ⏎         before = self.children[i - 1] if i > 0 else None ⏎         after = self.children[i + 1] if i + 1 < len(self.children) else None ⏎         prev_map[id(child)] = before ⏎         next_map[id(child)] = after ⏎         next_map[id(before)] = child ⏎         if after is not None:,,
click,dup.block,4,warn,src/click/__init__.py,82,5+ line block duplicated in 2 places,,2,"    if name == ""BaseCommand"": ⏎         from .core import _BaseCommand ⏎  ⏎         warnings.warn( ⏎             ""'BaseCommand' is deprecated and will be removed in Click 9.0. Use"" ⏎             "" 'Command' instead."", ⏎             DeprecationWarning,",,
click,dup.block,4,warn,src/click/_compat.py,200,5+ line block duplicated in 2 places,,2,"    # the streams to get binary streams.  Some code might do this, so ⏎     # we need to deal with this case explicitly. ⏎     if _is_binary_writer(stream, False): ⏎         return t.cast(t.BinaryIO, stream) ⏎  ⏎     buf = getattr(stream, ""buffer"", None) ⏎ ",,
click,dup.block,4,warn,src/click/_winconsole.py,225,5+ line block duplicated in 3 places,,3,"def _get_text_stdin(buffer_stream: t.BinaryIO) -> t.TextIO: ⏎     text_stream = _NonClosingTextIOWrapper( ⏎         io.BufferedReader(_WindowsConsoleReader(STDIN_HANDLE)), ⏎         ""utf-16-le"", ⏎         ""strict"", ⏎         line_buffering=True, ⏎     )",,
click,dup.block,4,warn,src/click/core.py,1845,5+ line block duplicated in 2 places,,2,"            Added the :attr:`command_class` attribute. ⏎         """""" ⏎         from .decorators import command ⏎  ⏎         func: t.Callable[..., t.Any] | None = None ⏎  ⏎         if args and callable(args[0]):",,
click,dup.block,4,warn,src/click/decorators.py,372,5+ line block duplicated in 2 places,,2,"    """""" ⏎     if cls is None: ⏎         cls = Option ⏎  ⏎     def decorator(f: FC) -> FC: ⏎         _param_memo(f, cls(param_decls, **attrs)) ⏎         return f",,
click,dup.block,4,warn,src/click/decorators.py,590,5+ line block duplicated in 2 places,,2,"            return ⏎  ⏎         echo(callback(ctx), color=ctx.color) ⏎         ctx.exit() ⏎  ⏎     if not param_decls: ⏎         param_decls = (""--version"",)",,
fastapi,dup.block,4,warn,docs_src/custom_request_and_route/tutorial002_an_py310.py,11,5+ line block duplicated in 2 places,,2, ⏎ class ValidationErrorLoggingRoute(APIRoute): ⏎     def get_route_handler(self) -> Callable: ⏎         original_route_handler = super().get_route_handler() ⏎  ⏎         async def custom_route_handler(request: Request) -> Response: ⏎             try:,,
fastapi,dup.block,4,warn,docs_src/custom_response/tutorial003_py310.py,15,5+ line block duplicated in 2 places,,2,"            <title>Some HTML in here</title> ⏎         </head> ⏎         <body> ⏎             <h1>Look ma! HTML!</h1> ⏎         </body> ⏎     </html> ⏎     """"""",,
fastapi,dup.block,4,warn,docs_src/dependencies/tutorial008_py310.py,5,5+ line block duplicated in 2 places,,2, ⏎  ⏎ async def dependency_a(): ⏎     dep_a = generate_dep_a() ⏎     try: ⏎         yield dep_a ⏎     finally:,,
fastapi,dup.block,4,warn,docs_src/dependencies/tutorial008d_an_py310.py,22,5+ line block duplicated in 4 places,,4," ⏎ @app.get(""/items/{item_id}"") ⏎ def get_item(item_id: str, username: Annotated[str, Depends(get_username)]): ⏎     if item_id == ""portal-gun"": ⏎         raise InternalError( ⏎             f""The portal gun is too dangerous to be owned by {username}"" ⏎         )",,
fastapi,dup.block,4,warn,docs_src/dependency_testing/tutorial001_py310.py,41,5+ line block duplicated in 2 places,,2," ⏎  ⏎ def test_override_in_items_with_q(): ⏎     response = client.get(""/items/?q=foo"") ⏎     assert response.status_code == 200 ⏎     assert response.json() == { ⏎         ""message"": ""Hello Items!"",",,
fastapi,dup.block,4,warn,docs_src/extra_data_types/tutorial001_an_py310.py,18,5+ line block duplicated in 2 places,,2,"    process_after: Annotated[timedelta, Body()], ⏎     repeat_at: Annotated[time | None, Body()] = None, ⏎ ): ⏎     start_process = start_datetime + process_after ⏎     duration = end_datetime - start_process ⏎     return { ⏎         ""item_id"": item_id,",,
fastapi,dup.block,4,warn,docs_src/path_operation_advanced_configuration/tutorial006_py310.py,9,5+ line block duplicated in 2 places,,2,"def magic_data_reader(raw_body: bytes): ⏎     return { ⏎         ""size"": len(raw_body), ⏎         ""content"": { ⏎             ""name"": ""Maaaagic"", ⏎             ""price"": 42, ⏎             ""description"": ""Just kiddin', no magic here. ✨"",",,
fastapi,dup.block,4,warn,docs_src/security/tutorial004_py310.py,82,5+ line block duplicated in 4 places,,4," ⏎  ⏎ def create_access_token(data: dict, expires_delta: timedelta | None = None): ⏎     to_encode = data.copy() ⏎     if expires_delta: ⏎         expire = datetime.now(timezone.utc) + expires_delta ⏎     else:",,
fastapi,dup.block,4,warn,docs_src/security/tutorial007_py310.py,22,5+ line block duplicated in 2 places,,2,"    is_correct_password = secrets.compare_digest( ⏎         current_password_bytes, correct_password_bytes ⏎     ) ⏎     if not (is_correct_username and is_correct_password): ⏎         raise HTTPException( ⏎             status_code=status.HTTP_401_UNAUTHORIZED, ⏎             detail=""Incorrect username or password"",",,
fastapi,dup.block,4,warn,docs_src/sql_databases/tutorial001_an_py310.py,68,5+ line block duplicated in 4 places,,4," ⏎ @app.delete(""/heroes/{hero_id}"") ⏎ def delete_hero(hero_id: int, session: SessionDep): ⏎     hero = session.get(Hero, hero_id) ⏎     if not hero: ⏎         raise HTTPException(status_code=404, detail=""Hero not found"") ⏎     session.delete(hero)",,
fastapi,dup.block,4,warn,fastapi/encoders.py,264,5+ line block duplicated in 4 places,,4,"        obj_dict = dataclasses.asdict(obj) ⏎         return jsonable_encoder( ⏎             obj_dict, ⏎             include=include, ⏎             exclude=exclude, ⏎             by_alias=by_alias, ⏎             exclude_unset=exclude_unset,",,
fastapi,dup.block,4,warn,fastapi/encoders.py,326,5+ line block duplicated in 3 places,,3,"                    item, ⏎                     include=include, ⏎                     exclude=exclude, ⏎                     by_alias=by_alias, ⏎                     exclude_unset=exclude_unset, ⏎                     exclude_defaults=exclude_defaults, ⏎                     exclude_none=exclude_none,",,
fastapi,dup.block,4,warn,fastapi/openapi/utils.py,425,5+ line block duplicated in 2 places,,2,"                    jsonl_content: dict[str, Any] = {} ⏎                     if route.stream_item_field: ⏎                         item_schema = get_schema_from_model_field( ⏎                             field=route.stream_item_field, ⏎                             model_name_map=model_name_map, ⏎                             field_mapping=field_mapping, ⏎                             separate_input_output_schemas=separate_input_output_schemas,",,
fastapi,dup.block,4,warn,fastapi/params.py,95,5+ line block duplicated in 2 places,,2,"            le=le, ⏎             min_length=min_length, ⏎             max_length=max_length, ⏎             discriminator=discriminator, ⏎             multiple_of=multiple_of, ⏎             allow_inf_nan=allow_inf_nan, ⏎             max_digits=max_digits,",,
