repo,analyzer_id,analyzer_version,severity,file,line,message,evidence_kind,matches_count,context,label,note
aiohttp,risk.error-masking,1,warn,aiohttp/base_protocol.py,75,except clause masks errors (empty-except-body),empty-except-body,,        if self.transport is not None: ⏎             try: ⏎                 self.transport.pause_reading() ⏎             except PAUSE_RESUME_READING_ERRORS: ⏎                 # Transport lacks flow control; nothing to pause. Intentionally ⏎                 # ignored (see PAUSE_RESUME_READING_ERRORS; do not use suppress). ⏎                 pass,boilerplate,specific exception with clear domain intent
aiohttp,risk.error-masking,1,warn,aiohttp/http_writer.py,396,except clause masks errors (empty-except-body),empty-except-body,,    _c_serialize_headers = _http_writer._serialize_headers ⏎     if not NO_EXTENSIONS: ⏎         _serialize_headers = _c_serialize_headers ⏎ except ImportError: ⏎     pass,boilerplate,specific exception with clear domain intent
aiohttp,risk.error-masking,1,warn,aiohttp/web.py,487,except clause masks errors (empty-except-body),empty-except-body,,"    try: ⏎         asyncio.set_event_loop(loop) ⏎         loop.run_until_complete(main_task) ⏎     except (GracefulExit, KeyboardInterrupt): ⏎         pass ⏎     finally: ⏎         try:",boilerplate,graceful shutdown / UX interrupt handling
aiohttp,risk.error-masking,1,warn,aiohttp/web_protocol.py,280,except clause masks errors (empty-except-body),empty-except-body,,"        self._timeout_ceil_threshold: float = 5 ⏎         try: ⏎             self._timeout_ceil_threshold = float(timeout_ceil_threshold) ⏎         except (TypeError, ValueError): ⏎             pass ⏎  ⏎         self.logger = logger",style,"specific exception defensive silencing, borderline"
aiohttp,risk.error-masking,1,warn,aiohttp/web_protocol.py,539,except clause masks errors (empty-except-body),empty-except-body,,        if self.transport is not None: ⏎             try: ⏎                 self.transport.pause_reading() ⏎             except PAUSE_RESUME_READING_ERRORS: ⏎                 # Transport lacks flow control; nothing to pause. Intentionally ⏎                 # ignored (see PAUSE_RESUME_READING_ERRORS; do not use suppress). ⏎                 pass,boilerplate,specific exception with clear domain intent
aiohttp,risk.error-masking,1,warn,docs/conf.py,72,except clause masks errors (empty-except-body),empty-except-body,,"    import sphinxcontrib.spelling  # noqa ⏎  ⏎     extensions.append(""sphinxcontrib.spelling"") ⏎ except ImportError: ⏎     pass ⏎  ⏎ spelling_exclude_patterns = [",boilerplate,docs/scripts path
aiohttp,risk.error-masking,1,warn,tests/test_client_session.py,1404,except clause masks errors (empty-except-body),empty-except-body,," ⏎         try: ⏎             await session.get(""http://example.com"") ⏎         except Exception: ⏎             pass ⏎  ⏎         on_request_exception.assert_called_once_with(",boilerplate,test file: intentional exception trigger + assert
black,risk.error-masking,1,warn,scripts/fuzz.py,65,except clause masks errors (empty-except-body),empty-except-body,,        import sys ⏎  ⏎         import atheris ⏎     except ImportError: ⏎         pass ⏎     else: ⏎         test = test_idempotent_any_syntactically_valid_python,boilerplate,docs/scripts path
black,risk.error-masking,1,warn,src/black/__init__.py,1213,except clause masks errors (empty-except-body),empty-except-body,,"            try: ⏎                 src = """".join(cell[""source""]) ⏎                 dst = format_cell(src, fast=fast, mode=mode) ⏎             except NothingChanged: ⏎                 pass ⏎             else: ⏎                 cell[""source""] = dst.splitlines(keepends=True)",boilerplate,specific exception with clear domain intent
black,risk.error-masking,1,warn,src/black/concurrency.py,123,except clause masks errors (empty-except-body),empty-except-body,,"    if workers > 1: ⏎         try: ⏎             executor = ProcessPoolExecutor(max_workers=workers) ⏎         except (ImportError, NotImplementedError, OSError): ⏎             # we arrive here if the underlying system does not support multi-processing ⏎             # like in AWS Lambda or Termux, in which case we gracefully fallback to ⏎             # a ThreadPoolExecutor with just a single worker (more workers would not do",boilerplate,specific exception with clear domain intent
black,risk.error-masking,1,warn,src/black/concurrency.py,208,except clause masks errors (empty-except-body),empty-except-body,,"        try: ⏎             loop.add_signal_handler(signal.SIGINT, cancel, pending) ⏎             loop.add_signal_handler(signal.SIGTERM, cancel, pending) ⏎         except NotImplementedError: ⏎             # There are no good alternatives for these on Windows. ⏎             pass ⏎         while pending:",boilerplate,specific exception with clear domain intent
black,risk.error-masking,1,warn,src/black/files.py,166,except clause masks errors (empty-except-body),empty-except-body,,"            pass ⏎         try: ⏎             return parse_req_python_specifier(requires_python) ⏎         except (InvalidSpecifier, InvalidVersion): ⏎             pass ⏎  ⏎     return None",style,"specific exception defensive silencing, borderline"
